airport,date,size,mu
BWI,2020-01-01,1,0
BWI,2020-01-02,1,0
BWI,2020-01-03,1,0
BWI,2020-01-04,1,0
BWI,2020-01-05,1,0
BWI,2020-01-06,1,0
BWI,2020-01-07,1,0
BWI,2020-01-08,1,0
BWI,2020-01-09,1,0
BWI,2020-01-10,1,0
BWI,2020-01-11,1,0
BWI,2020-01-12,1,0
BWI,2020-01-13,1,0
BWI,2020-01-14,1,0
BWI,2020-01-15,1,0
BWI,2020-01-16,1,0
BWI,2020-01-17,41623.41961724225,0.009999019815187332
BWI,2020-01-18,41623.41961724225,0.009999019815187332
BWI,2020-01-19,1,0
BWI,2020-01-20,1,0
BWI,2020-01-21,39133.47815470681,0.02000165954680926
BWI,2020-01-22,1,0
BWI,2020-01-23,79380.46538898363,0.03000253125257643
BWI,2020-01-24,41623.41961724225,0.009999019815187332
BWI,2020-01-25,39133.47815470681,0.02000165954680926
BWI,2020-01-26,1,0
BWI,2020-01-27,39133.47815470681,0.02000165954680926
BWI,2020-01-28,1,0
BWI,2020-01-29,41623.41961724225,0.009999019815187332
BWI,2020-01-30,39133.47815470681,0.02000165954680926
BWI,2020-01-31,79380.46538898363,0.03000253125257643
BWI,2020-02-01,41623.41961724225,0.009999019815187332
BWI,2020-02-02,41623.41961724225,0.009999019815187332
BWI,2020-02-03,79380.46538898363,0.03000253125257643
BWI,2020-02-04,433293.01440957014,0.050001841315805734
BWI,2020-02-05,41623.41961724225,0.009999019815187332
BWI,2020-02-06,41623.41961724225,0.009999019815187332
BWI,2020-02-07,41623.41961724225,0.009999019815187332
BWI,2020-02-08,41623.41961724225,0.009999019815187332
BWI,2020-02-09,79380.46538898363,0.03000253125257643
BWI,2020-02-10,41623.41961724225,0.009999019815187332
BWI,2020-02-11,409881.1639146599,0.060010583098237036
BWI,2020-02-12,409881.1639146599,0.060010583098237036
BWI,2020-02-13,429066.08130106394,0.06998524782957033
BWI,2020-02-14,433293.0144086488,0.08000368263169208
BWI,2020-02-15,0.2641668017534233,0.06997204514528743
BWI,2020-02-16,433293.01440957014,0.050001841315805734
BWI,2020-02-17,2765.801257273415,0.15003977445885802
BWI,2020-02-18,990407.9379043989,0.11997602801116353
BWI,2020-02-19,4.90645161290324,0.13
BWI,2020-02-20,0.46507865488988076,0.20997800296464816
BWI,2020-02-21,2.787606962589849,0.3799403540597014
BWI,2020-02-22,1.2370846746271449,0.7801011522181642
BWI,2020-02-23,0.7402879203317856,0.5800771750023332
BWI,2020-02-24,1.1785219399538103,0.6300000000000001
BWI,2020-02-25,80.43748111724928,0.6600377655029298
BWI,2020-02-26,1.38982415262605,1.4200750157162543
BWI,2020-02-27,6.246332563431759,1.4301226749966696
BWI,2020-02-28,2.6259185003003047,0.6400276377503302
BWI,2020-03-01,3.029556100921829,3.649598373547196
BWI,2020-03-02,3.3100921702069916,1.1099830253046272
BWI,2020-03-03,1,0
BWI,2020-03-04,1,0
BWI,2020-03-05,1,0
BWI,2020-03-06,1,0
BWI,2020-03-07,1,0
BWI,2020-03-08,1,0
BWI,2020-03-09,1,0
BWI,2020-03-10,1,0
BWI,2020-03-11,1,0
BWI,2020-03-12,1,0
BWI,2020-03-13,1,0
BWI,2020-03-14,1,0
BWI,2020-03-15,1,0
BWI,2020-03-16,1,0
BWI,2020-03-17,1,0
BWI,2020-03-18,1,0
BWI,2020-03-19,1,0
BWI,2020-03-20,1,0
BWI,2020-03-21,1,0
BWI,2020-03-22,1,0
BWI,2020-03-23,1,0
BWI,2020-03-24,1,0
BWI,2020-03-25,1,0
BWI,2020-03-26,1,0
BWI,2020-03-27,1,0
BWI,2020-03-28,1,0
BWI,2020-03-29,1,0
BWI,2020-03-30,1,0
BWI,2020-03-31,1,0
BWI,2020-04-01,1,0
DCA,2020-01-01,1,0
DCA,2020-01-02,1,0
DCA,2020-01-03,1,0
DCA,2020-01-04,1,0
DCA,2020-01-05,1,0
DCA,2020-01-06,1,0
DCA,2020-01-07,1,0
DCA,2020-01-08,1,0
DCA,2020-01-09,1,0
DCA,2020-01-10,1,0
DCA,2020-01-11,1,0
DCA,2020-01-12,1,0
DCA,2020-01-13,41623.41961724225,0.009999019815187332
DCA,2020-01-14,41623.41961724225,0.009999019815187332
DCA,2020-01-15,1,0
DCA,2020-01-16,1,0
DCA,2020-01-17,41623.41961724225,0.009999019815187332
DCA,2020-01-18,1,0
DCA,2020-01-19,1,0
DCA,2020-01-20,0.10597265681384946,0.04999243453411119
DCA,2020-01-21,79380.46538898363,0.03000253125257643
DCA,2020-01-22,39133.47815470681,0.02000165954680926
DCA,2020-01-23,309455.18580297736,0.10002075233066127
DCA,2020-01-24,1,0
DCA,2020-01-25,0.05916262970346477,0.04000271061840262
DCA,2020-01-26,1,0
DCA,2020-01-27,39133.47815470681,0.02000165954680926
DCA,2020-01-28,41623.41961724225,0.009999019815187332
DCA,2020-01-29,1,0
DCA,2020-01-30,1,0
DCA,2020-01-31,409881.1639146599,0.060010583098237036
DCA,2020-02-01,41623.41961724225,0.009999019815187332
DCA,2020-02-02,1,0
DCA,2020-02-03,39133.47815470681,0.02000165954680926
DCA,2020-02-04,41623.41961724225,0.009999019815187332
DCA,2020-02-05,79380.46538898363,0.03000253125257643
DCA,2020-02-06,79380.46538898363,0.03000253125257643
DCA,2020-02-07,79380.46538898363,0.03000253125257643
DCA,2020-02-08,41623.41961724225,0.009999019815187332
DCA,2020-02-09,79380.46538898363,0.03000253125257643
DCA,2020-02-10,79380.46538898363,0.03000253125257643
DCA,2020-02-11,433293.01440957014,0.050001841315805734
DCA,2020-02-12,309455.1858107592,0.04000518808281735
DCA,2020-02-13,429066.08130106394,0.06998524782957033
DCA,2020-02-14,0.27529045303185823,0.1300274316811817
DCA,2020-02-15,409881.1639146599,0.060010583098237036
DCA,2020-02-16,409881.1639146599,0.060010583098237036
DCA,2020-02-17,1.345011509558822,0.11000780556775347
DCA,2020-02-18,0.4442495224624874,0.15003677532076845
DCA,2020-02-19,309455.18580297736,0.10002075233066127
DCA,2020-02-20,2.201351569881581,0.16999845977033576
DCA,2020-02-21,0.820390187166078,0.33003588916826065
DCA,2020-02-22,2.39442064051961,0.5100171403895629
DCA,2020-02-23,1.383594084159206,0.4201008259162498
DCA,2020-02-24,2.9872787925645845,0.31002849300262403
DCA,2020-02-25,1.427466066773323,0.5000371751101577
DCA,2020-02-26,3.8394186915967294,0.9599349990947135
DCA,2020-02-27,0.9172623629775378,1.3899443081822245
DCA,2020-02-28,0.8777426558378763,0.4900411227630426
DCA,2020-03-01,2.061100827494834,4.910342058354756
DCA,2020-03-02,1.5421437292797102,1.1200400945646691
DCA,2020-03-03,1,0
DCA,2020-03-04,1,0
DCA,2020-03-05,1,0
DCA,2020-03-06,1,0
DCA,2020-03-07,1,0
DCA,2020-03-08,1,0
DCA,2020-03-09,1,0
DCA,2020-03-10,1,0
DCA,2020-03-11,1,0
DCA,2020-03-12,1,0
DCA,2020-03-13,1,0
DCA,2020-03-14,1,0
DCA,2020-03-15,1,0
DCA,2020-03-16,1,0
DCA,2020-03-17,1,0
DCA,2020-03-18,1,0
DCA,2020-03-19,1,0
DCA,2020-03-20,1,0
DCA,2020-03-21,1,0
DCA,2020-03-22,1,0
DCA,2020-03-23,1,0
DCA,2020-03-24,1,0
DCA,2020-03-25,1,0
DCA,2020-03-26,1,0
DCA,2020-03-27,1,0
DCA,2020-03-28,1,0
DCA,2020-03-29,1,0
DCA,2020-03-30,1,0
DCA,2020-03-31,1,0
DCA,2020-04-01,1,0
IAD,2020-01-01,1,0
IAD,2020-01-02,1,0
IAD,2020-01-03,1,0
IAD,2020-01-04,1,0
IAD,2020-01-05,1,0
IAD,2020-01-06,1,0
IAD,2020-01-07,1,0
IAD,2020-01-08,1,0
IAD,2020-01-09,1,0
IAD,2020-01-10,1,0
IAD,2020-01-11,1,0
IAD,2020-01-12,1,0
IAD,2020-01-13,41623.41961724225,0.009999019815187332
IAD,2020-01-14,1,0
IAD,2020-01-15,1,0
IAD,2020-01-16,1,0
IAD,2020-01-17,39133.47815470681,0.02000165954680926
IAD,2020-01-18,41623.41961724225,0.009999019815187332
IAD,2020-01-19,79380.46538898363,0.03000253125257643
IAD,2020-01-20,433293.01440957014,0.050001841315805734
IAD,2020-01-21,309455.1858107592,0.04000518808281735
IAD,2020-01-22,409881.1639146599,0.060010583098237036
IAD,2020-01-23,0.2641668017534233,0.06997204514528743
IAD,2020-01-24,309455.1858107592,0.04000518808281735
IAD,2020-01-25,309455.1858107592,0.04000518808281735
IAD,2020-01-26,41623.41961724225,0.009999019815187332
IAD,2020-01-27,1,0
IAD,2020-01-28,39133.47815470681,0.02000165954680926
IAD,2020-01-29,1,0
IAD,2020-01-30,0.10597265681384946,0.04999243453411119
IAD,2020-01-31,152346.65682605948,0.17003406447007663
IAD,2020-02-01,79380.46538898363,0.03000253125257643
IAD,2020-02-02,79380.46538898363,0.03000253125257643
IAD,2020-02-03,39133.47815470681,0.02000165954680926
IAD,2020-02-04,433293.01440957014,0.050001841315805734
IAD,2020-02-05,41623.41961724225,0.009999019815187332
IAD,2020-02-06,409881.1639146599,0.060010583098237036
IAD,2020-02-07,41623.41961724225,0.009999019815187332
IAD,2020-02-08,433293.01440957014,0.050001841315805734
IAD,2020-02-09,409881.1639146599,0.060010583098237036
IAD,2020-02-10,309455.1858107592,0.04000518808281735
IAD,2020-02-11,409881.1639146599,0.060010583098237036
IAD,2020-02-12,409881.1639146599,0.060010583098237036
IAD,2020-02-13,0.8675461662933246,0.10001997686922554
IAD,2020-02-14,44.1000000000018,0.14000000000000004
IAD,2020-02-15,3.6335824956235143,0.17997231536789948
IAD,2020-02-16,3.6335824956235143,0.17997231536789948
IAD,2020-02-17,4.653666931390767,0.3399979103197817
IAD,2020-02-18,1.3537939564076424,0.28002069079917147
IAD,2020-02-19,8.485549841629375,0.4300393372189426
IAD,2020-02-20,1.0922489561511881,0.4400155222672925
IAD,2020-02-21,8.841431521665342,0.5800608773269783
IAD,2020-02-22,2.208410839250835,0.9299635131868569
IAD,2020-02-23,3.2186969283037197,1.0100441029907594
IAD,2020-02-24,2.847520518086851,0.9000100965052844
IAD,2020-02-25,3.6894589934911166,1.1699639376092672
IAD,2020-02-26,5.495154299003359,1.4897634444916268
IAD,2020-02-27,2.590471676587641,2.1001972700719396
IAD,2020-02-28,6.538663711830181,0.9800186151579807
IAD,2020-03-01,4.098881735821409,5.130565284200014
IAD,2020-03-02,3.427087940226137,0.6599386776434749
IAD,2020-03-03,1,0
IAD,2020-03-04,1,0
IAD,2020-03-05,1,0
IAD,2020-03-06,1,0
IAD,2020-03-07,1,0
IAD,2020-03-08,1,0
IAD,2020-03-09,1,0
IAD,2020-03-10,1,0
IAD,2020-03-11,1,0
IAD,2020-03-12,1,0
IAD,2020-03-13,1,0
IAD,2020-03-14,1,0
IAD,2020-03-15,1,0
IAD,2020-03-16,1,0
IAD,2020-03-17,1,0
IAD,2020-03-18,1,0
IAD,2020-03-19,1,0
IAD,2020-03-20,1,0
IAD,2020-03-21,1,0
IAD,2020-03-22,1,0
IAD,2020-03-23,1,0
IAD,2020-03-24,1,0
IAD,2020-03-25,1,0
IAD,2020-03-26,1,0
IAD,2020-03-27,1,0
IAD,2020-03-28,1,0
IAD,2020-03-29,1,0
IAD,2020-03-30,1,0
IAD,2020-03-31,1,0
IAD,2020-04-01,1,0
ORF,2020-01-01,1,0
ORF,2020-01-02,1,0
ORF,2020-01-03,1,0
ORF,2020-01-04,1,0
ORF,2020-01-05,1,0
ORF,2020-01-06,1,0
ORF,2020-01-07,1,0
ORF,2020-01-08,1,0
ORF,2020-01-09,1,0
ORF,2020-01-10,1,0
ORF,2020-01-11,1,0
ORF,2020-01-12,1,0
ORF,2020-01-13,1,0
ORF,2020-01-14,1,0
ORF,2020-01-15,1,0
ORF,2020-01-16,1,0
ORF,2020-01-17,1,0
ORF,2020-01-18,41623.41961724225,0.009999019815187332
ORF,2020-01-19,41623.41961724225,0.009999019815187332
ORF,2020-01-20,1,0
ORF,2020-01-21,1,0
ORF,2020-01-22,1,0
ORF,2020-01-23,409881.1639146599,0.060010583098237036
ORF,2020-01-24,1,0
ORF,2020-01-25,1,0
ORF,2020-01-26,1,0
ORF,2020-01-27,1,0
ORF,2020-01-28,41623.41961724225,0.009999019815187332
ORF,2020-01-29,1,0
ORF,2020-01-30,1,0
ORF,2020-01-31,1,0
ORF,2020-02-01,41623.41961724225,0.009999019815187332
ORF,2020-02-02,1,0
ORF,2020-02-03,1,0
ORF,2020-02-04,1,0
ORF,2020-02-05,1,0
ORF,2020-02-06,39133.47815470681,0.02000165954680926
ORF,2020-02-07,41623.41961724225,0.009999019815187332
ORF,2020-02-08,41623.41961724225,0.009999019815187332
ORF,2020-02-09,1,0
ORF,2020-02-10,1,0
ORF,2020-02-11,41623.41961724225,0.009999019815187332
ORF,2020-02-12,39133.47815470681,0.02000165954680926
ORF,2020-02-13,39133.47815470681,0.02000165954680926
ORF,2020-02-14,1,0
ORF,2020-02-15,41623.41961724225,0.009999019815187332
ORF,2020-02-16,309455.1858107592,0.04000518808281735
ORF,2020-02-17,309455.1858107592,0.04000518808281735
ORF,2020-02-18,79380.46538898363,0.03000253125257643
ORF,2020-02-19,79380.46538898363,0.03000253125257643
ORF,2020-02-20,309455.1858107592,0.04000518808281735
ORF,2020-02-21,309455.1858107592,0.04000518808281735
ORF,2020-02-22,433293.0144086488,0.08000368263169208
ORF,2020-02-23,321252.63635628234,0.130024362159103
ORF,2020-02-24,433293.01440957014,0.050001841315805734
ORF,2020-02-25,0.3308213694184672,0.11001302042435254
ORF,2020-02-26,2851.9892835115957,0.16000002571596272
ORF,2020-02-27,151848.9574803778,0.29004590855965395
ORF,2020-02-28,1.2531017485358447,0.16998009281780968
ORF,2020-03-01,433293.0143957607,0.8800294610522468
ORF,2020-03-02,44.1000000000018,0.14000000000000004
ORF,2020-03-03,1,0
ORF,2020-03-04,1,0
ORF,2020-03-05,1,0
ORF,2020-03-06,1,0
ORF,2020-03-07,1,0
ORF,2020-03-08,1,0
ORF,2020-03-09,1,0
ORF,2020-03-10,1,0
ORF,2020-03-11,1,0
ORF,2020-03-12,1,0
ORF,2020-03-13,1,0
ORF,2020-03-14,1,0
ORF,2020-03-15,1,0
ORF,2020-03-16,1,0
ORF,2020-03-17,1,0
ORF,2020-03-18,1,0
ORF,2020-03-19,1,0
ORF,2020-03-20,1,0
ORF,2020-03-21,1,0
ORF,2020-03-22,1,0
ORF,2020-03-23,1,0
ORF,2020-03-24,1,0
ORF,2020-03-25,1,0
ORF,2020-03-26,1,0
ORF,2020-03-27,1,0
ORF,2020-03-28,1,0
ORF,2020-03-29,1,0
ORF,2020-03-30,1,0
ORF,2020-03-31,1,0
ORF,2020-04-01,1,0
PHL,2020-01-01,1,0
PHL,2020-01-02,1,0
PHL,2020-01-03,1,0
PHL,2020-01-04,1,0
PHL,2020-01-05,1,0
PHL,2020-01-06,1,0
PHL,2020-01-07,1,0
PHL,2020-01-08,1,0
PHL,2020-01-09,1,0
PHL,2020-01-10,1,0
PHL,2020-01-11,1,0
PHL,2020-01-12,1,0
PHL,2020-01-13,1,0
PHL,2020-01-14,1,0
PHL,2020-01-15,1,0
PHL,2020-01-16,1,0
PHL,2020-01-17,39133.47815470681,0.02000165954680926
PHL,2020-01-18,41623.41961724225,0.009999019815187332
PHL,2020-01-19,41623.41961724225,0.009999019815187332
PHL,2020-01-20,39133.47815470681,0.02000165954680926
PHL,2020-01-21,39133.47815470681,0.02000165954680926
PHL,2020-01-22,309455.1858107592,0.04000518808281735
PHL,2020-01-23,79380.46538898363,0.03000253125257643
PHL,2020-01-24,309455.1858107592,0.04000518808281735
PHL,2020-01-25,79380.46538898363,0.03000253125257643
PHL,2020-01-26,1,0
PHL,2020-01-27,1,0
PHL,2020-01-28,1,0
PHL,2020-01-29,39133.47815470681,0.02000165954680926
PHL,2020-01-30,79380.46538898363,0.03000253125257643
PHL,2020-01-31,79380.46538898363,0.03000253125257643
PHL,2020-02-01,433293.01440957014,0.050001841315805734
PHL,2020-02-02,1,0
PHL,2020-02-03,79380.46538898363,0.03000253125257643
PHL,2020-02-04,309455.1858107592,0.04000518808281735
PHL,2020-02-05,79380.46538898363,0.03000253125257643
PHL,2020-02-06,39133.47815470681,0.02000165954680926
PHL,2020-02-07,79380.46538898363,0.03000253125257643
PHL,2020-02-08,1,0
PHL,2020-02-09,41623.41961724225,0.009999019815187332
PHL,2020-02-10,79380.46538898363,0.03000253125257643
PHL,2020-02-11,0.2641668017534233,0.06997204514528743
PHL,2020-02-12,0.2641668017534233,0.06997204514528743
PHL,2020-02-13,309455.1858107592,0.04000518808281735
PHL,2020-02-14,0.2641668017534233,0.06997204514528743
PHL,2020-02-15,0.08594931585134466,0.07000110786567071
PHL,2020-02-16,0.5838395372764122,0.12998671628541852
PHL,2020-02-17,321252.63635628234,0.130024362159103
PHL,2020-02-18,0.16454375305347227,0.10998417808688547
PHL,2020-02-19,0.6608089289421759,0.22004557762520618
PHL,2020-02-20,14697.166785047168,0.22998068471072858
PHL,2020-02-21,2.113557645078188,0.38002760093846777
PHL,2020-02-22,2.6837058086549055,0.4499443692545737
PHL,2020-02-23,0.9240866813466473,0.3700416618063711
PHL,2020-02-24,1633.5632304783212,0.5099466666486114
PHL,2020-02-25,523468.2540901326,0.5499693294617789
PHL,2020-02-26,2.224608516271649,0.870165319300755
PHL,2020-02-27,1.54210633669615,1.410230095100808
PHL,2020-02-28,3.519201771355568,0.6599868902722164
PHL,2020-03-01,2.6985828057451307,4.199193762838841
PHL,2020-03-02,2.9271290916333106,0.7599351076084933
PHL,2020-03-03,1,0
PHL,2020-03-04,1,0
PHL,2020-03-05,1,0
PHL,2020-03-06,1,0
PHL,2020-03-07,1,0
PHL,2020-03-08,1,0
PHL,2020-03-09,1,0
PHL,2020-03-10,1,0
PHL,2020-03-11,1,0
PHL,2020-03-12,1,0
PHL,2020-03-13,1,0
PHL,2020-03-14,1,0
PHL,2020-03-15,1,0
PHL,2020-03-16,1,0
PHL,2020-03-17,1,0
PHL,2020-03-18,1,0
PHL,2020-03-19,1,0
PHL,2020-03-20,1,0
PHL,2020-03-21,1,0
PHL,2020-03-22,1,0
PHL,2020-03-23,1,0
PHL,2020-03-24,1,0
PHL,2020-03-25,1,0
PHL,2020-03-26,1,0
PHL,2020-03-27,1,0
PHL,2020-03-28,1,0
PHL,2020-03-29,1,0
PHL,2020-03-30,1,0
PHL,2020-03-31,1,0
PHL,2020-04-01,1,0
PIT,2020-01-01,1,0
PIT,2020-01-02,1,0
PIT,2020-01-03,1,0
PIT,2020-01-04,1,0
PIT,2020-01-05,1,0
PIT,2020-01-06,1,0
PIT,2020-01-07,1,0
PIT,2020-01-08,1,0
PIT,2020-01-09,1,0
PIT,2020-01-10,1,0
PIT,2020-01-11,1,0
PIT,2020-01-12,1,0
PIT,2020-01-13,1,0
PIT,2020-01-14,1,0
PIT,2020-01-15,1,0
PIT,2020-01-16,1,0
PIT,2020-01-17,1,0
PIT,2020-01-18,41623.41961724225,0.009999019815187332
PIT,2020-01-19,1,0
PIT,2020-01-20,1,0
PIT,2020-01-21,41623.41961724225,0.009999019815187332
PIT,2020-01-22,1,0
PIT,2020-01-23,0.2641668017534233,0.06997204514528743
PIT,2020-01-24,1,0
PIT,2020-01-25,41623.41961724225,0.009999019815187332
PIT,2020-01-26,1,0
PIT,2020-01-27,41623.41961724225,0.009999019815187332
PIT,2020-01-28,41623.41961724225,0.009999019815187332
PIT,2020-01-29,1,0
PIT,2020-01-30,41623.41961724225,0.009999019815187332
PIT,2020-01-31,39133.47815470681,0.02000165954680926
PIT,2020-02-01,1,0
PIT,2020-02-02,1,0
PIT,2020-02-03,79380.46538898363,0.03000253125257643
PIT,2020-02-04,41623.41961724225,0.009999019815187332
PIT,2020-02-05,1,0
PIT,2020-02-06,79380.46538898363,0.03000253125257643
PIT,2020-02-07,41623.41961724225,0.009999019815187332
PIT,2020-02-08,39133.47815470681,0.02000165954680926
PIT,2020-02-09,39133.47815470681,0.02000165954680926
PIT,2020-02-10,39133.47815470681,0.02000165954680926
PIT,2020-02-11,41623.41961724225,0.009999019815187332
PIT,2020-02-12,39133.47815470681,0.02000165954680926
PIT,2020-02-13,39133.47815470681,0.02000165954680926
PIT,2020-02-14,41623.41961724225,0.009999019815187332
PIT,2020-02-15,309455.1858107592,0.04000518808281735
PIT,2020-02-16,41623.41961724225,0.009999019815187332
PIT,2020-02-17,0.5813055692592779,0.09000717109147491
PIT,2020-02-18,0.10597265681384946,0.04999243453411119
PIT,2020-02-19,0.8675461662933246,0.10001997686922554
PIT,2020-02-20,433293.0144086488,0.08000368263169208
PIT,2020-02-21,433293.0144086488,0.08000368263169208
PIT,2020-02-22,0.5292703303704571,0.21997940165571556
PIT,2020-02-23,321252.63635628234,0.130024362159103
PIT,2020-02-24,1.5042323489367582,0.22994510533047557
PIT,2020-02-25,2.248257159877498,0.20995748833665306
PIT,2020-02-26,1.1378745475901835,0.47992946944659265
PIT,2020-02-27,2.817676552970492,0.49997127002903397
PIT,2020-02-28,1.661428215545802,0.33998363733062126
PIT,2020-03-01,3.456840505675665,1.9999761013757613
PIT,2020-03-02,1.0190272454244411,0.47000299449068905
PIT,2020-03-03,1,0
PIT,2020-03-04,1,0
PIT,2020-03-05,1,0
PIT,2020-03-06,1,0
PIT,2020-03-07,1,0
PIT,2020-03-08,1,0
PIT,2020-03-09,1,0
PIT,2020-03-10,1,0
PIT,2020-03-11,1,0
PIT,2020-03-12,1,0
PIT,2020-03-13,1,0
PIT,2020-03-14,1,0
PIT,2020-03-15,1,0
PIT,2020-03-16,1,0
PIT,2020-03-17,1,0
PIT,2020-03-18,1,0
PIT,2020-03-19,1,0
PIT,2020-03-20,1,0
PIT,2020-03-21,1,0
PIT,2020-03-22,1,0
PIT,2020-03-23,1,0
PIT,2020-03-24,1,0
PIT,2020-03-25,1,0
PIT,2020-03-26,1,0
PIT,2020-03-27,1,0
PIT,2020-03-28,1,0
PIT,2020-03-29,1,0
PIT,2020-03-30,1,0
PIT,2020-03-31,1,0
PIT,2020-04-01,1,0
RIC,2020-01-01,1,0
RIC,2020-01-02,1,0
RIC,2020-01-03,1,0
RIC,2020-01-04,1,0
RIC,2020-01-05,1,0
RIC,2020-01-06,1,0
RIC,2020-01-07,1,0
RIC,2020-01-08,1,0
RIC,2020-01-09,1,0
RIC,2020-01-10,1,0
RIC,2020-01-11,1,0
RIC,2020-01-12,1,0
RIC,2020-01-13,1,0
RIC,2020-01-14,1,0
RIC,2020-01-15,1,0
RIC,2020-01-16,41623.41961724225,0.009999019815187332
RIC,2020-01-17,1,0
RIC,2020-01-18,1,0
RIC,2020-01-19,1,0
RIC,2020-01-20,39133.47815470681,0.02000165954680926
RIC,2020-01-21,1,0
RIC,2020-01-22,1,0
RIC,2020-01-23,79380.46538898363,0.03000253125257643
RIC,2020-01-24,1,0
RIC,2020-01-25,41623.41961724225,0.009999019815187332
RIC,2020-01-26,1,0
RIC,2020-01-27,1,0
RIC,2020-01-28,41623.41961724225,0.009999019815187332
RIC,2020-01-29,41623.41961724225,0.009999019815187332
RIC,2020-01-30,1,0
RIC,2020-01-31,1,0
RIC,2020-02-01,1,0
RIC,2020-02-02,1,0
RIC,2020-02-03,1,0
RIC,2020-02-04,1,0
RIC,2020-02-05,1,0
RIC,2020-02-06,1,0
RIC,2020-02-07,1,0
RIC,2020-02-08,1,0
RIC,2020-02-09,1,0
RIC,2020-02-10,41623.41961724225,0.009999019815187332
RIC,2020-02-11,1,0
RIC,2020-02-12,39133.47815470681,0.02000165954680926
RIC,2020-02-13,79380.46538898363,0.03000253125257643
RIC,2020-02-14,39133.47815470681,0.02000165954680926
RIC,2020-02-15,41623.41961724225,0.009999019815187332
RIC,2020-02-16,39133.47815470681,0.02000165954680926
RIC,2020-02-17,79380.46538898363,0.03000253125257643
RIC,2020-02-18,1,0
RIC,2020-02-19,79380.46538898363,0.03000253125257643
RIC,2020-02-20,39133.47815470681,0.02000165954680926
RIC,2020-02-21,0.39319129099740713,0.07999318745206384
RIC,2020-02-22,0.39319129099740713,0.07999318745206384
RIC,2020-02-23,1.345011509558822,0.11000780556775347
RIC,2020-02-24,509944.80793316104,0.11002845620504215
RIC,2020-02-25,1.345011509558822,0.11000780556775347
RIC,2020-02-26,3.410629489285679,0.21999550172481042
RIC,2020-02-27,0.7076273655010895,0.29996159625324337
RIC,2020-02-28,363684.89838189725,0.15997534842600444
RIC,2020-03-01,1.982792507048694,1.0500353649929157
RIC,2020-03-02,152346.65682605948,0.17003406447007663
RIC,2020-03-03,1,0
RIC,2020-03-04,1,0
RIC,2020-03-05,1,0
RIC,2020-03-06,1,0
RIC,2020-03-07,1,0
RIC,2020-03-08,1,0
RIC,2020-03-09,1,0
RIC,2020-03-10,1,0
RIC,2020-03-11,1,0
RIC,2020-03-12,1,0
RIC,2020-03-13,1,0
RIC,2020-03-14,1,0
RIC,2020-03-15,1,0
RIC,2020-03-16,1,0
RIC,2020-03-17,1,0
RIC,2020-03-18,1,0
RIC,2020-03-19,1,0
RIC,2020-03-20,1,0
RIC,2020-03-21,1,0
RIC,2020-03-22,1,0
RIC,2020-03-23,1,0
RIC,2020-03-24,1,0
RIC,2020-03-25,1,0
RIC,2020-03-26,1,0
RIC,2020-03-27,1,0
RIC,2020-03-28,1,0
RIC,2020-03-29,1,0
RIC,2020-03-30,1,0
RIC,2020-03-31,1,0
RIC,2020-04-01,1,0
