"geoid","USPS","pop2010"
"48301","TX",82
"15005","HI",90
"48269","TX",286
"48261","TX",416
"31005","NE",460
"31009","NE",478
"30069","MT",494
"31117","NE",539
"31075","NE",614
"31115","NE",632
"48033","TX",641
"31171","NE",647
"02282","AK",662
"31007","NE",690
"35021","NM",695
"08111","CO",699
"48311","TX",707
"08079","CO",712
"30103","MT",718
"38087","ND",727
"31091","NE",736
"31113","NE",763
"32009","NV",783
"38007","ND",783
"48263","TX",808
"31183","NE",818
"31103","NE",824
"08053","CO",843
"30037","MT",884
"48393","TX",929
"31085","NE",967
"02230","AK",968
"16033","ID",982
"48443","TX",984
"02060","AK",997
"46075","SD",1006
"30109","MT",1017
"49009","UT",1059
"16025","ID",1117
"48431","TX",1143
"30011","MT",1160
"06003","CA",1175
"30079","MT",1179
"30033","MT",1206
"48345","TX",1210
"48173","TX",1226
"20071","KS",1247
"46063","SD",1255
"31165","NE",1311
"38083","ND",1321
"48155","TX",1336
"46119","SD",1373
"08057","CO",1394
"08061","CO",1398
"28055","MS",1406
"46069","SD",1420
"41069","OR",1441
"46021","SD",1466
"20199","KS",1485
"48433","TX",1490
"48101","TX",1505
"31149","NE",1526
"49031","UT",1556
"48235","TX",1599
"02164","AK",1631
"48045","TX",1637
"48447","TX",1641
"38033","ND",1680
"13265","GA",1717
"30055","MT",1734
"30075","MT",1743
"20101","KS",1750
"30019","MT",1751
"41055","OR",1765
"02068","AK",1826
"08017","CO",1836
"38065","ND",1846
"41021","OR",1871
"20033","KS",1891
"30059","MT",1891
"48011","TX",1901
"46017","SD",1912
"20083","KS",1916
"46055","SD",1937
"31049","NE",1941
"38013","ND",1968
"38091","ND",1975
"32011","NV",1987
"38047","ND",1990
"48137","TX",2002
"31057","NE",2008
"35011","NM",2022
"31073","NE",2044
"46095","SD",2048
"31071","NE",2049
"48359","TX",2052
"31069","NE",2057
"08033","CO",2064
"38023","ND",2071
"46073","SD",2071
"30045","MT",2072
"31015","NE",2099
"02105","AK",2150
"26083","MI",2156
"30107","MT",2168
"29227","MO",2171
"20025","KS",2215
"20203","KS",2234
"20187","KS",2235
"48327","TX",2242
"38095","ND",2246
"49033","UT",2264
"53023","WA",2266
"21201","KY",2282
"51091","VA",2321
"46107","SD",2329
"30051","MT",2339
"48243","TX",2342
"38001","ND",2343
"46111","SD",2355
"46049","SD",2364
"02275","AK",2369
"08115","CO",2379
"38027","ND",2385
"46097","SD",2389
"38037","ND",2394
"48109","TX",2398
"38039","ND",2420
"38043","ND",2435
"48125","TX",2444
"46089","SD",2459
"38075","ND",2470
"40025","OK",2475
"38041","ND",2477
"56027","WY",2484
"02100","AK",2508
"13239","GA",2513
"20153","KS",2519
"31077","NE",2538
"20097","KS",2553
"20179","KS",2556
"20065","KS",2597
"20075","KS",2690
"20063","KS",2695
"46003","SD",2710
"20023","KS",2726
"20109","KS",2756
"31063","NE",2756
"31133","NE",2773
"49055","UT",2778
"20017","KS",2790
"13307","GA",2799
"46137","SD",2801
"38051","ND",2809
"20049","KS",2882
"30025","MT",2890
"16023","ID",2891
"31087","NE",2908
"40057","OK",2922
"20039","KS",2961
"46117","SD",2966
"31135","NE",2970
"46105","SD",2982
"20195","KS",3001
"46043","SD",3002
"46071","SD",3031
"48421","TX",3034
"20047","KS",3037
"48087","TX",3057
"20089","KS",3077
"30039","MT",3079
"13125","GA",3082
"20135","KS",3107
"38063","ND",3126
"48079","TX",3127
"02013","AK",3141
"31017","NE",3145
"38011","ND",3151
"31163","NE",3152
"13061","GA",3183
"31061","NE",3225
"20129","KS",3233
"06091","CA",3240
"20105","KS",3241
"48295","TX",3302
"20165","KS",3307
"20207","KS",3309
"48385","TX",3309
"48081","TX",3320
"46061","SD",3331
"38031","ND",3343
"48191","TX",3353
"48461","TX",3355
"48383","TX",3367
"48417","TX",3378
"30091","MT",3384
"31083","NE",3423
"46007","SD",3431
"46059","SD",3431
"13007","GA",3451
"48413","TX",3461
"48229","TX",3476
"08023","CO",3524
"38025","ND",3536
"38029","ND",3550
"27155","MN",3558
"48271","TX",3598
"40129","OK",3647
"30097","MT",3651
"20019","KS",3669
"48129","TX",3677
"40059","OK",3685
"46025","SD",3691
"48105","TX",3719
"48275","TX",3719
"35003","NM",3725
"48023","TX",3726
"31125","NE",3735
"46085","SD",3755
"29129","MO",3785
"08009","CO",3788
"48211","TX",3807
"31181","NE",3812
"02195","AK",3815
"16061","ID",3821
"31105","NE",3821
"38081","ND",3829
"20183","KS",3853
"20141","KS",3858
"51720","VA",3958
"31029","NE",3966
"48151","TX",3974
"16003","ID",3976
"20093","KS",3977
"53069","WA",3978
"38019","ND",3993
"32029","NV",4010
"48319","TX",4012
"19003","IA",4029
"13101","GA",4034
"27077","MN",4045
"46031","SD",4050
"46045","SD",4071
"53013","WA",4078
"48095","TX",4087
"27125","MN",4089
"48435","TX",4128
"29103","MO",4131
"38045","ND",4139
"48197","TX",4139
"40045","OK",4151
"38085","ND",4153
"38103","ND",4207
"30061","MT",4223
"55078","WI",4232
"30071","MT",4253
"08027","CO",4255
"20081","KS",4256
"31175","NE",4260
"46053","SD",4271
"16071","ID",4286
"17069","IL",4320
"38069","ND",4357
"46039","SD",4364
"16037","ID",4368
"48103","TX",4375
"37177","NC",4407
"55037","WI",4423
"29197","MO",4431
"08091","CO",4436
"20185","KS",4437
"08095","CO",4442
"17151","IL",4470
"31129","NE",4500
"40053","OK",4527
"30065","MT",4538
"35059","NM",4549
"27069","MN",4552
"20119","KS",4575
"48267","TX",4607
"46091","SD",4656
"35019","NM",4687
"51017","VA",4731
"21189","KY",4755
"32021","NV",4772
"48317","TX",4799
"40043","OK",4810
"56017","WY",4812
"08121","CO",4814
"36041","NY",4836
"29199","MO",4843
"02070","AK",4847
"20007","KS",4861
"35033","NM",4881
"35023","NM",4894
"21105","KY",4902
"29087","MO",4912
"28125","MS",4916
"20171","KS",4936
"48333","TX",4936
"31065","NE",4959
"29171","MO",4979
"20157","KS",4980
"13249","GA",5010
"31123","NE",5042
"47137","TN",5077
"42023","PA",5085
"17013","IL",5089
"21039","KY",5104
"19159","IA",5131
"46077","SD",5148
"49017","UT",5172
"27031","MN",5176
"20163","KS",5181
"51045","VA",5190
"16063","ID",5208
"31097","NE",5217
"31169","NE",5228
"48119","TX",5231
"22107","LA",5252
"46015","SD",5255
"27011","MN",5269
"38021","ND",5289
"48247","TX",5300
"46041","SD",5301
"30101","MT",5324
"32017","NV",5345
"17171","IL",5355
"05013","AR",5368
"38049","ND",5395
"31143","NE",5406
"48483","TX",5410
"27087","MN",5413
"46129","SD",5438
"08047","CO",5441
"38073","ND",5457
"08073","CO",5467
"31161","NE",5469
"31011","NE",5505
"47175","TN",5548
"02198","AK",5559
"02016","AK",5561
"02290","AK",5588
"17059","IL",5589
"30007","MT",5612
"48195","TX",5613
"46087","SD",5618
"40007","OK",5636
"20147","KS",5642
"40003","OK",5642
"46123","SD",5644
"20137","KS",5671
"29005","MO",5685
"46037","SD",5710
"31031","NE",5713
"54105","WV",5717
"20189","KS",5724
"32015","NV",5775
"20201","KS",5799
"37095","NC",5810
"30015","MT",5813
"08025","CO",5823
"13301","GA",5834
"31059","NE",5890
"27081","MN",5896
"48207","TX",5899
"46057","SD",5903
"48305","TX",5915
"55051","WI",5916
"20127","KS",5923
"40029","OK",5925
"51595","VA",5927
"51580","VA",5961
"16007","ID",5986
"17175","IL",5994
"31051","NE",6000
"17155","IL",6006
"20069","KS",6006
"20181","KS",6010
"27051","MN",6018
"20077","KS",6034
"13259","GA",6058
"48107","TX",6059
"48205","TX",6062
"30099","MT",6073
"20143","KS",6091
"08109","CO",6108
"19009","IA",6119
"13201","GA",6125
"18115","IN",6128
"31167","NE",6129
"48411","TX",6131
"30073","MT",6153
"17153","IL",6161
"48065","TX",6182
"40033","OK",6193
"51515","VA",6222
"40055","OK",6239
"29035","MO",6265
"31093","NE",6274
"21165","KY",6306
"50009","VT",6306
"19173","IA",6317
"38053","ND",6360
"47127","TN",6362
"20123","KS",6373
"29205","MO",6373
"19185","IA",6403
"46115","SD",6415
"42113","PA",6428
"38009","ND",6429
"48153","TX",6446
"48169","TX",6461
"19143","IA",6462
"40067","OK",6472
"46101","SD",6486
"31099","NE",6489
"30005","MT",6491
"20053","KS",6497
"08011","CO",6499
"31035","NE",6542
"27167","MN",6576
"49001","UT",6629
"26095","MI",6631
"51530","VA",6650
"38005","ND",6660
"08103","CO",6666
"31003","NE",6685
"20073","KS",6689
"13037","GA",6694
"29179","MO",6696
"48111","TX",6703
"08055","CO",6711
"29211","MO",6714
"17047","IL",6721
"29075","MO",6738
"32027","NV",6753
"26131","MI",6780
"13065","GA",6798
"21075","KY",6813
"47067","TN",6819
"51021","VA",6824
"22023","LA",6839
"27107","MN",6852
"21057","KY",6856
"31021","NE",6858
"13263","GA",6865
"13283","GA",6885
"48283","TX",6886
"17009","IL",6937
"31173","NE",6940
"51097","VA",6945
"16029","ID",6963
"20167","KS",6970
"50013","VT",6970
"20145","KS",6973
"41063","OR",7008
"30077","MT",7027
"16015","ID",7028
"02240","AK",7029
"48075","TX",7041
"51640","VA",7042
"51678","VA",7042
"20197","KS",7053
"51181","VA",7058
"46009","SD",7070
"56011","WY",7083
"19093","IA",7089
"46047","SD",7094
"48495","TX",7110
"49025","UT",7125
"21181","KY",7135
"29045","MO",7139
"54093","WV",7141
"48017","TX",7165
"56045","WY",7208
"48175","TX",7210
"48047","TX",7223
"31127","NE",7248
"51036","VA",7256
"27073","MN",7259
"05147","AR",7260
"31139","NE",7266
"08065","CO",7310
"19151","IA",7310
"17071","IL",7331
"46067","SD",7343
"21237","KY",7355
"46051","SD",7356
"08113","CO",7359
"30105","MT",7369
"51157","VA",7373
"48391","TX",7383
"38067","ND",7413
"13309","GA",7421
"41025","OR",7422
"19071","IA",7441
"41023","OR",7445
"02270","AK",7459
"55091","WI",7469
"18161","IN",7516
"02188","AK",7523
"40093","OK",7527
"17169","IL",7544
"31095","NE",7547
"53019","WA",7551
"19177","IA",7570
"19195","IA",7598
"54073","WV",7605
"54013","WV",7627
"05073","AR",7645
"38061","ND",7673
"19001","IA",7682
"30057","MT",7691
"54071","WV",7695
"42053","PA",7716
"13243","GA",7719
"28063","MS",7726
"22035","LA",7759
"16077","ID",7817
"48377","TX",7818
"20067","KS",7829
"29041","MO",7831
"47095","TN",7832
"31121","NE",7845
"21063","KY",7852
"48437","TX",7854
"20095","KS",7858
"47027","TN",7861
"47169","TN",7870
"48501","TX",7879
"29057","MO",7883
"21129","KY",7887
"41037","OR",7895
"20193","KS",7900
"47135","TN",7915
"16059","ID",7936
"20043","KS",7945
"19135","IA",7970
"40141","OK",7992
"13181","GA",7996
"48069","TX",8062
"20003","KS",8102
"05039","AR",8116
"28037","MS",8118
"38097","ND",8121
"05095","AR",8149
"05129","AR",8195
"54017","WV",8202
"46033","SD",8216
"28119","MS",8223
"17003","IL",8238
"21007","KY",8249
"08021","CO",8256
"08063","CO",8270
"48307","TX",8283
"21143","KY",8314
"05101","AR",8330
"13165","GA",8340
"46125","SD",8347
"31147","NE",8363
"12077","FL",8365
"31101","NE",8368
"13003","GA",8375
"31023","NE",8395
"38057","ND",8424
"47083","TN",8426
"29061","MO",8433
"04011","AZ",8437
"29203","MO",8441
"17065","IL",8457
"19053","IA",8457
"26153","MI",8485
"21023","KY",8488
"48425","TX",8490
"18171","IN",8508
"48193","TX",8517
"56043","WY",8533
"20027","KS",8535
"28019","MS",8547
"21091","KY",8565
"56019","WY",8569
"51620","VA",8582
"21077","KY",8589
"20031","KS",8601
"26135","MI",8640
"56031","WY",8667
"05025","AR",8689
"54021","WV",8693
"27029","MN",8695
"31107","NE",8701
"05117","AR",8715
"54075","WV",8719
"27101","MN",8725
"13253","GA",8729
"28009","MS",8729
"13197","GA",8742
"19051","IA",8753
"16035","ID",8761
"21223","KY",8809
"29137","MO",8840
"31027","NE",8852
"18007","IN",8854
"26013","MI",8860
"37075","NC",8861
"48405","TX",8865
"12067","FL",8870
"40151","OK",8878
"02220","AK",8881
"48083","TX",8895
"19117","IA",8898
"13269","GA",8906
"13287","GA",8930
"29081","MO",8957
"38055","ND",8962
"30021","MT",8966
"51115","VA",8978
"05099","AR",8997
"13289","GA",9023
"35037","NM",9041
"48237","TX",9044
"01063","AL",9045
"48009","TX",9054
"08019","CO",9088
"22081","LA",9091
"30095","MT",9117
"13209","GA",9123
"31081","NE",9124
"46023","SD",9129
"31039","NE",9139
"54101","WV",9154
"29125","MO",9176
"31045","NE",9182
"31137","NE",9188
"54095","WV",9208
"49019","UT",9225
"48043","TX",9232
"30087","MT",9233
"19133","IA",9243
"30001","MT",9246
"51159","VA",9254
"13315","GA",9255
"16009","ID",9285
"19039","IA",9286
"29033","MO",9295
"30023","MT",9298
"55041","WI",9304
"13273","GA",9315
"21055","KY",9315
"19073","IA",9336
"28053","MS",9375
"54015","WV",9386
"48335","TX",9403
"20205","KS",9409
"19147","IA",9421
"40085","OK",9423
"29025","MO",9424
"13141","GA",9429
"02185","AK",9430
"27089","MN",9439
"40075","OK",9446
"49029","UT",9469
"05097","AR",9487
"02180","AK",9492
"21139","KY",9519
"21149","KY",9531
"20029","KS",9533
"13155","GA",9538
"13319","GA",9563
"19089","IA",9566
"31179","NE",9595
"27117","MN",9596
"26003","MI",9601
"28021","MS",9604
"46121","SD",9612
"29085","MO",9627
"48429","TX",9630
"02261","AK",9636
"20107","KS",9656
"20151","KS",9656
"19025","IA",9670
"06049","CA",9686
"27133","MN",9687
"17079","IL",9698
"29153","MO",9723
"27149","MN",9726
"30083","MT",9746
"26119","MI",9765
"27151","MN",9783
"29185","MO",9805
"19091","IA",9815
"16085","ID",9862
"28157","MS",9878
"13167","GA",9980
"37029","NC",9980
"20013","KS",9984
"48127","TX",9996
"31033","NE",9998
"32033","NV",10030
"08125","CO",10043
"51049","VA",10052
"13173","GA",10078
"30009","MT",10078
"20159","KS",10083
"21169","KY",10099
"46019","SD",10110
"20117","KS",10117
"22021","LA",10132
"29089","MO",10144
"46109","SD",10149
"37103","NC",10153
"29173","MO",10167
"16081","ID",10170
"25019","MA",10172
"20131","KS",10178
"16087","ID",10198
"29111","MO",10211
"48357","TX",10223
"45065","SC",10233
"49023","UT",10246
"56035","WY",10247
"28155","MS",10253
"29079","MO",10261
"27063","MN",10266
"48369","TX",10269
"21053","KY",10272
"19063","IA",10302
"18101","IN",10334
"19161","IA",10350
"22025","LA",10407
"45005","SC",10419
"05077","AR",10424
"30085","MT",10425
"31089","NE",10435
"27173","MN",10438
"05105","AR",10445
"54085","WV",10449
"28069","MS",10456
"13281","GA",10471
"48031","TX",10497
"48399","TX",10501
"19107","IA",10511
"31037","NE",10515
"40105","OK",10536
"48315","TX",10546
"53043","WA",10570
"37043","NC",10587
"01105","AL",10591
"13317","GA",10593
"28015","MS",10597
"48159","TX",10605
"18155","IN",10613
"29093","MO",10630
"48475","TX",10658
"19069","IA",10680
"18025","IN",10713
"19137","IA",10740
"48077","TX",10752
"19131","IA",10776
"28143","MS",10778
"21041","KY",10811
"48403","TX",10834
"21187","KY",10841
"19189","IA",10866
"27075","MN",10866
"29149","MO",10881
"01011","AL",10914
"48379","TX",10914
"28097","MS",10925
"31041","NE",10939
"26001","MI",10942
"19077","IA",10954
"40069","OK",10957
"51119","VA",10959
"21171","KY",10963
"16021","ID",10972
"49015","UT",10976
"27121","MN",10995
"13043","GA",10998
"13109","GA",11000
"13099","GA",11008
"17035","IL",11048
"31145","NE",11055
"38003","ND",11066
"53059","WA",11066
"13005","GA",11096
"26097","MI",11113
"38099","ND",11119
"51057","VA",11151
"40077","OK",11154
"37005","NC",11155
"41049","OR",11173
"46079","SD",11200
"22091","LA",11203
"27165","MN",11211
"05127","AR",11233
"21087","KY",11258
"13053","GA",11267
"05109","AR",11291
"01085","AL",11299
"31013","NE",11308
"21131","KY",11310
"19081","IA",11341
"19115","IA",11387
"51103","VA",11391
"30043","MT",11406
"30089","MT",11413
"38071","ND",11451
"05011","AR",11508
"16073","ID",11526
"48297","TX",11531
"01037","AL",11539
"26085","MI",11539
"28103","MS",11545
"12037","FL",11549
"40103","OK",11561
"40127","OK",11572
"19119","IA",11581
"30027","MT",11586
"21011","KY",11591
"22123","LA",11604
"40149","OK",11629
"47087","TN",11638
"56003","WY",11668
"01131","AL",11670
"48507","TX",11677
"27033","MN",11687
"30017","MT",11699
"21229","KY",11717
"47121","TN",11753
"47039","TN",11757
"48131","TX",11782
"05017","AR",11800
"26071","MI",11817
"13149","GA",11834
"54023","WV",11937
"40011","OK",11943
"17185","IL",11947
"08105","CO",11982
"35051","NM",11988
"13235","GA",12010
"19035","IA",12072
"08007","CO",12084
"51183","VA",12087
"22065","LA",12093
"51735","VA",12150
"21061","KY",12161
"47101","TN",12161
"19165","IA",12167
"13049","GA",12171
"40107","OK",12191
"37073","NC",12197
"29123","MO",12226
"29139","MO",12236
"51081","VA",12243
"05049","AR",12245
"28111","MS",12250
"51133","VA",12330
"51610","VA",12332
"29017","MO",12363
"51131","VA",12389
"05137","AR",12394
"48063","TX",12401
"29011","MO",12402
"19037","IA",12439
"27023","MN",12441
"19075","IA",12453
"21219","KY",12460
"28065","MS",12487
"49027","UT",12503
"19175","IA",12534
"08099","CO",12551
"17087","IL",12582
"51037","VA",12586
"21197","KY",12613
"13079","GA",12630
"17123","IL",12640
"48445","TX",12651
"20115","KS",12660
"28161","MS",12678
"21031","KY",12690
"51007","VA",12690
"17129","IL",12705
"29115","MO",12761
"16079","ID",12765
"18009","IN",12766
"40061","OK",12769
"16041","ID",12786
"18125","IN",12845
"48387","TX",12860
"30003","MT",12865
"47007","TN",12876
"12043","FL",12884
"19007","IA",12887
"29063","MO",12892
"51111","VA",12914
"21159","KY",12929
"28077","MS",12929
"48343","TX",12934
"21033","KY",12984
"53051","WA",13001
"05041","AR",13008
"13023","GA",13063
"28005","MS",13131
"37137","NC",13144
"05081","AR",13171
"01035","AL",13228
"37187","NC",13228
"19197","IA",13229
"16043","ID",13242
"56015","WY",13249
"51113","VA",13308
"27071","MN",13311
"47161","TN",13324
"21153","KY",13333
"20001","KS",13371
"26141","MI",13376
"30035","MT",13399
"18131","IN",13402
"39163","OH",13435
"37143","NC",13453
"20085","KS",13462
"02130","AK",13477
"40099","OK",13488
"21109","KY",13494
"54063","WV",13502
"29223","MO",13521
"48487","TX",13535
"48059","TX",13544
"46113","SD",13586
"55011","WI",13587
"02150","AK",13592
"21233","KY",13621
"17017","IL",13642
"48313","TX",13664
"31185","NE",13665
"29067","MO",13684
"05065","AR",13696
"47061","TN",13703
"35007","NM",13750
"01119","AL",13763
"48389","TX",13783
"06105","CA",13786
"05061","AR",13789
"08081","CO",13795
"47015","TN",13801
"17025","IL",13815
"51690","VA",13821
"48115","TX",13833
"56009","WY",13833
"27159","MN",13843
"01023","AL",13859
"46027","SD",13864
"21135","KY",13870
"21025","KY",13878
"29151","MO",13878
"17061","IL",13886
"13159","GA",13900
"01041","AL",13906
"21175","KY",13923
"54089","WV",13927
"27113","MN",13930
"01027","AL",13932
"38079","ND",13937
"19029","IA",13956
"48093","TX",13974
"48279","TX",13977
"37173","NC",13981
"29039","MO",13982
"40063","OK",14003
"48505","TX",14018
"54031","WV",14025
"51043","VA",14034
"51830","VA",14068
"26039","MI",14074
"48239","TX",14075
"17053","IL",14081
"29181","MO",14100
"47153","TN",14112
"05079","AR",14134
"55099","WI",14159
"40005","OK",14182
"21123","KY",14193
"31151","NE",14200
"06051","CA",14202
"18111","IN",14244
"51685","VA",14273
"19005","IA",14330
"13191","GA",14333
"21221","KY",14339
"21069","KY",14348
"22013","LA",14353
"29133","MO",14358
"19141","IA",14398
"46127","SD",14399
"28041","MS",14400
"48351","TX",14445
"13183","GA",14464
"54007","WV",14523
"27043","MN",14553
"01075","AL",14564
"48455","TX",14585
"47033","TN",14586
"13251","GA",14593
"12013","FL",14625
"39111","OH",14642
"39121","OH",14645
"17193","IL",14665
"17125","IL",14666
"21065","KY",14672
"17189","IL",14716
"13193","GA",14740
"49037","UT",14746
"55107","WI",14755
"12065","FL",14761
"48003","TX",14786
"37041","NC",14793
"12047","FL",14799
"48255","TX",14824
"08049","CO",14843
"42057","PA",14845
"17139","IL",14846
"26113","MI",14849
"19023","IA",14867
"21191","KY",14877
"22059","LA",14890
"13221","GA",14899
"13093","GA",14918
"54087","WV",14926
"19085","IA",14928
"28013","MS",14962
"01029","AL",14972
"51011","VA",14973
"21225","KY",15007
"55007","WI",15014
"51125","VA",15020
"40035","OK",15029
"40073","OK",15034
"39115","OH",15054
"19129","IA",15059
"13161","GA",15068
"20011","KS",15173
"45017","SC",15175
"29117","MO",15195
"40023","OK",15205
"48353","TX",15216
"29073","MO",15222
"27143","MN",15226
"18013","IN",15242
"51063","VA",15279
"22127","LA",15313
"08051","CO",15324
"28135","MS",15378
"17015","IL",15387
"55077","WI",15404
"21103","KY",15416
"17127","IL",15429
"28147","MS",15443
"08003","CO",15445
"55013","WI",15457
"16047","ID",15464
"08071","CO",15507
"48371","TX",15507
"51077","VA",15533
"12125","FL",15535
"19109","IA",15543
"29121","MO",15566
"37121","NC",15579
"29135","MO",15607
"22125","LA",15625
"27135","MN",15629
"30067","MT",15636
"29065","MO",15657
"19079","IA",15673
"19121","IA",15679
"05087","AR",15717
"27129","MN",15730
"31131","NE",15740
"01065","AL",15760
"53055","WA",15769
"40095","OK",15840
"51135","VA",15853
"21127","KY",15860
