date,geoid,incidI,incidH,incidD,hosp_curr
2020-01-01,1,0,0,0,0
2020-01-02,1,0,0,0,0
2020-01-03,1,0,0,0,0
2020-01-04,1,0,0,0,0
2020-01-05,1,0,0,0,0
2020-01-06,1,0,0,0,0
2020-01-07,1,0,0,0,0
2020-01-08,1,0,0,0,0
2020-01-09,1,0,0,0,0
2020-01-10,1,0,0,0,0
2020-01-11,1,0,0,0,0
2020-01-12,1,0,0,0,0
2020-01-13,1,0,0,0,0
2020-01-14,1,0,0,0,0
2020-01-15,1,0,0,0,0
2020-01-16,1,1,0,0,0
2020-01-17,1,2,0,0,0
2020-01-18,1,2,0,0,0
2020-01-19,1,2,0,0,0
2020-01-20,1,1,0,0,0
2020-01-21,1,1,0,0,0
2020-01-22,1,0,0,0,0
2020-01-23,1,1,0,0,0
2020-01-24,1,2,0,0,0
2020-01-25,1,1,0,0,0
2020-01-26,1,0,1,0,1
2020-01-27,1,2,0,0,1
2020-01-28,1,2,0,0,1
2020-01-29,1,3,0,0,1
2020-01-30,1,2,1,0,2
2020-01-31,1,3,0,0,2
2020-02-01,1,1,0,0,2
2020-02-02,1,3,0,0,2
2020-02-03,1,2,0,0,2
2020-02-04,1,4,0,0,2
2020-02-05,1,5,0,0,2
2020-02-06,1,7,0,0,1
2020-02-07,1,5,0,0,1
2020-02-08,1,8,0,0,1
2020-02-09,1,5,0,0,1
2020-02-10,1,8,0,0,0
2020-02-11,1,7,1,0,1
2020-02-12,1,6,1,0,2
2020-02-13,1,4,0,0,2
2020-02-14,1,9,1,0,3
2020-02-15,1,12,0,0,3
2020-02-16,1,10,1,1,4
2020-02-17,1,7,0,0,4
2020-02-18,1,13,0,0,4
2020-02-19,1,12,0,0,4
2020-02-20,1,14,1,0,5
2020-02-21,1,14,2,0,7
2020-02-22,1,18,2,0,8
2020-02-23,1,18,1,0,8
2020-02-24,1,24,0,0,8
2020-02-25,1,22,1,0,8
2020-02-26,1,34,2,0,10
2020-02-27,1,17,2,0,11
2020-02-28,1,21,2,0,13
2020-02-29,1,24,0,0,13
2020-03-01,1,27,5,0,18
2020-03-02,1,28,2,0,19
2020-03-03,1,45,3,0,20
2020-03-04,1,44,2,0,20
2020-03-05,1,40,1,0,20
2020-03-06,1,52,3,0,23
2020-03-07,1,55,3,0,25
2020-03-08,1,51,1,0,24
2020-03-09,1,65,4,0,26
2020-03-10,1,57,3,0,27
2020-03-11,1,71,2,0,29
2020-03-12,1,79,2,0,26
2020-03-13,1,86,6,1,30
2020-03-14,1,87,3,0,30
2020-03-15,1,80,5,1,33
2020-03-16,1,98,11,1,43
2020-03-17,1,109,5,0,45
2020-03-18,1,131,5,1,47
2020-03-19,1,115,9,0,55
2020-03-20,1,151,12,1,63
2020-03-21,1,153,12,0,72
2020-03-22,1,155,9,0,79
2020-03-23,1,150,12,0,89
2020-03-24,1,185,13,0,96
2020-03-25,1,208,10,0,103
2020-03-26,1,229,11,0,109
2020-03-27,1,208,22,1,120
2020-03-28,1,182,8,0,123
2020-03-29,1,137,16,1,134
2020-03-30,1,156,16,0,141
2020-03-31,1,137,17,0,146
2020-04-01,1,151,20,0,154
2020-04-02,1,134,22,2,167
2020-04-03,1,130,27,1,182
2020-04-04,1,131,18,2,187
2020-04-05,1,123,8,1,185
2020-04-06,1,129,24,0,198
2020-04-07,1,130,20,0,196
2020-04-08,1,119,17,1,205
2020-04-09,1,119,17,0,206
2020-04-10,1,104,19,1,209
2020-04-11,1,119,12,0,204
2020-04-12,1,106,12,1,196
2020-04-13,1,110,5,2,179
2020-04-14,1,110,16,1,168
2020-04-15,1,109,9,3,159
2020-04-16,1,110,12,0,163
2020-04-17,1,104,11,1,150
2020-04-18,1,91,9,2,139
2020-04-19,1,98,7,2,129
2020-04-20,1,89,15,7,127
2020-04-21,1,87,10,2,118
2020-04-22,1,90,5,0,111
2020-04-23,1,101,10,1,109
2020-04-24,1,74,9,3,113
2020-04-25,1,78,12,1,109
2020-04-26,1,66,6,2,106
2020-04-27,1,71,9,0,103
2020-04-28,1,80,9,0,101
2020-04-29,1,68,8,2,100
2020-04-30,1,68,12,1,105
2020-05-01,1,67,6,3,96
2020-05-02,1,67,10,2,96
2020-05-03,1,63,6,1,97
2020-05-04,1,54,2,1,89
2020-05-05,1,64,3,1,83
2020-05-06,1,56,9,0,80
2020-05-07,1,58,8,3,82
2020-05-08,1,67,6,2,79
2020-05-09,1,72,13,0,83
2020-05-10,1,54,5,1,80
2020-05-11,1,45,5,1,73
2020-05-12,1,49,12,1,79
2020-05-13,1,53,8,0,77
2020-05-14,1,63,5,0,76
2020-05-15,1,44,5,3,79
2020-05-16,1,41,9,0,85
2020-05-17,1,51,5,0,81
2020-05-18,1,54,8,1,81
2020-05-19,1,31,3,1,78
2020-05-20,1,48,8,0,73
2020-05-21,1,45,6,0,74
2020-05-22,1,41,6,0,75
2020-05-23,1,41,2,2,65
2020-05-24,1,34,6,2,63
2020-05-25,1,36,2,2,60
2020-05-26,1,33,4,0,59
2020-05-27,1,35,6,1,56
2020-05-28,1,32,4,1,55
2020-05-29,1,38,4,1,51
2020-05-30,1,38,4,1,52
2020-05-31,1,32,1,1,45
2020-06-01,1,36,4,0,43
2020-06-02,1,25,5,0,42
2020-06-03,1,32,2,1,42
2020-06-04,1,17,4,1,40
2020-06-05,1,25,2,1,40
2020-06-06,1,19,5,3,41
2020-06-07,1,38,6,0,41
2020-06-08,1,31,3,0,40
2020-06-09,1,24,2,1,38
2020-06-10,1,28,6,0,40
2020-06-11,1,24,2,0,41
2020-06-12,1,25,3,1,40
2020-06-13,1,30,2,0,37
2020-06-14,1,19,3,0,38
2020-06-15,1,22,4,0,38
2020-06-16,1,24,1,0,37
2020-06-17,1,18,5,0,37
2020-06-18,1,24,3,0,34
2020-06-19,1,11,1,0,32
2020-06-20,1,14,3,0,33
2020-06-21,1,16,4,0,31
2020-06-22,1,15,1,2,30
2020-06-23,1,19,2,0,29
2020-06-24,1,19,1,1,28
2020-06-25,1,16,1,0,26
2020-06-26,1,22,0,0,22
2020-06-27,1,14,3,0,24
2020-06-28,1,9,1,0,20
2020-06-29,1,17,2,0,19
2020-06-30,1,13,4,0,22
2020-07-01,1,13,1,1,20
2020-07-02,1,13,0,0,16
2020-07-03,1,14,1,0,16
2020-07-04,1,17,2,0,16
2020-07-05,1,11,1,0,16
2020-07-06,1,9,1,0,16
2020-07-07,1,12,1,0,17
2020-07-08,1,11,1,3,15
2020-07-09,1,9,2,0,16
2020-07-10,1,10,1,0,15
2020-07-11,1,7,2,0,13
2020-07-12,1,8,1,0,13
2020-07-13,1,8,1,0,14
2020-07-14,1,13,1,1,14
2020-07-15,1,9,1,0,13
2020-07-16,1,5,2,1,14
2020-07-17,1,6,0,1,13
2020-07-18,1,7,0,0,12
2020-07-19,1,10,1,0,12
2020-07-20,1,8,1,0,11
2020-07-21,1,9,0,0,10
2020-07-22,1,6,0,0,8
2020-07-23,1,2,1,1,8
2020-07-24,1,8,0,0,7
2020-07-25,1,9,0,0,6
2020-07-26,1,5,0,1,5
2020-07-27,1,6,0,0,3
2020-07-28,1,7,1,0,4
2020-07-29,1,7,1,0,5
2020-07-30,1,8,1,0,5
2020-07-31,1,7,0,0,4
2020-08-01,1,3,2,0,6
2020-08-02,1,3,1,1,7
2020-08-03,1,9,0,0,6
2020-08-04,1,4,0,0,6
2020-08-05,1,3,2,0,8
2020-08-06,1,5,0,0,8
2020-08-07,1,6,0,0,8
2020-08-08,1,7,0,0,7
2020-08-09,1,1,1,0,7
2020-08-10,1,5,1,0,7
2020-08-11,1,6,1,0,8
2020-08-12,1,3,1,0,7
2020-08-13,1,3,0,0,6
2020-08-14,1,5,1,0,7
2020-08-15,1,6,2,0,9
2020-08-16,1,5,0,0,7
2020-08-17,1,1,0,0,7
2020-08-18,1,4,0,0,7
2020-08-19,1,2,0,0,7
2020-08-20,1,3,0,0,6
2020-08-21,1,3,1,0,6
2020-08-22,1,1,0,0,5
2020-08-23,1,2,1,0,5
2020-08-24,1,0,0,0,5
2020-08-25,1,2,1,0,5
2020-08-26,1,3,0,1,3
2020-08-27,1,2,1,0,4
2020-08-28,1,2,0,0,4
2020-08-29,1,4,0,0,4
2020-08-30,1,2,0,0,4
2020-08-31,1,3,0,0,4
2020-09-01,1,3,0,0,3
2020-09-02,1,2,0,0,3
2020-09-03,1,1,1,0,3
2020-09-04,1,1,0,0,3
2020-09-05,1,0,0,0,2
2020-09-06,1,4,0,0,2
2020-09-07,1,1,0,0,1
2020-09-08,1,0,0,0,1
2020-09-09,1,0,0,0,1
2020-09-10,1,0,0,0,1
2020-09-11,1,2,0,0,1
2020-09-12,1,2,0,0,1
2020-09-13,1,2,0,0,1
2020-09-14,1,0,0,0,0
2020-09-15,1,1,0,0,0
2020-09-16,1,1,0,0,0
2020-09-17,1,1,0,0,0
2020-09-18,1,0,0,0,0
2020-09-19,1,0,0,0,0
2020-09-20,1,0,1,0,1
2020-09-21,1,2,0,0,1
2020-09-22,1,1,0,0,1
2020-09-23,1,1,0,0,1
2020-09-24,1,1,0,0,1
2020-09-25,1,1,0,0,1
2020-09-26,1,0,0,0,1
2020-09-27,1,0,0,0,1
2020-09-28,1,0,0,0,1
2020-09-29,1,0,0,0,1
2020-09-30,1,0,0,0,1
2020-10-01,1,1,0,0,0
2020-10-02,1,0,0,0,0
2020-10-03,1,1,0,0,0
2020-10-04,1,1,0,0,0
2020-10-05,1,0,0,0,0
2020-10-06,1,1,0,0,0
2020-10-07,1,1,0,1,0
2020-10-08,1,0,1,0,1
2020-10-09,1,0,0,0,1
2020-10-10,1,0,0,0,1
2020-10-11,1,0,1,0,2
2020-10-12,1,1,0,0,2
2020-10-13,1,0,1,0,3
2020-10-14,1,0,0,0,3
2020-10-15,1,0,0,0,3
2020-10-16,1,0,0,0,3
2020-10-17,1,0,0,0,3
2020-10-18,1,0,0,0,3
2020-10-19,1,0,0,0,2
2020-10-20,1,0,0,0,2
2020-10-21,1,0,0,0,2
2020-10-22,1,0,0,0,1
2020-10-23,1,0,0,0,1
2020-10-24,1,0,0,0,0
2020-10-25,1,0,0,0,0
2020-10-26,1,0,0,0,0
2020-10-27,1,0,0,0,0
2020-10-28,1,0,0,0,0
2020-10-29,1,0,0,0,0
2020-10-30,1,0,0,0,0
2020-10-31,1,0,0,0,0
2020-11-01,1,0,0,0,0
2020-11-02,1,0,0,0,0
2020-11-03,1,0,0,0,0
2020-11-04,1,0,0,0,0
2020-11-05,1,0,0,0,0
2020-11-06,1,0,0,0,0
2020-11-07,1,0,0,0,0
2020-11-08,1,0,0,0,0
2020-11-09,1,0,0,0,0
2020-11-10,1,0,0,0,0
2020-11-11,1,0,0,0,0
2020-11-12,1,0,0,0,0
2020-11-13,1,0,0,0,0
2020-11-14,1,0,0,0,0
2020-11-15,1,0,0,0,0
2020-11-16,1,0,0,0,0
2020-11-17,1,0,0,0,0
2020-11-18,1,0,0,0,0
2020-11-19,1,0,0,0,0
2020-11-20,1,0,0,0,0
2020-11-21,1,0,0,0,0
2020-11-22,1,0,0,0,0
2020-11-23,1,0,0,0,0
2020-11-24,1,0,0,0,0
2020-11-25,1,0,0,0,0
2020-11-26,1,0,0,0,0
2020-11-27,1,0,0,0,0
2020-11-28,1,0,0,0,0
2020-11-29,1,0,0,0,0
2020-11-30,1,0,0,0,0
2020-12-01,1,0,0,0,0
2020-12-02,1,0,0,0,0
2020-12-03,1,0,0,0,0
2020-12-04,1,0,0,0,0
2020-12-05,1,0,0,0,0
2020-12-06,1,0,0,0,0
2020-12-07,1,0,0,0,0
2020-12-08,1,0,0,0,0
2020-12-09,1,0,0,0,0
2020-12-10,1,0,0,0,0
2020-12-11,1,0,0,0,0
2020-12-12,1,0,0,0,0
2020-12-13,1,0,0,0,0
2020-12-14,1,0,0,0,0
2020-12-15,1,0,0,0,0
2020-12-16,1,0,0,0,0
2020-12-17,1,0,0,0,0
2020-12-18,1,0,0,0,0
2020-12-19,1,0,0,0,0
2020-12-20,1,0,0,0,0
2020-12-21,1,0,0,0,0
2020-12-22,1,0,0,0,0
2020-12-23,1,0,0,0,0
2020-12-24,1,0,0,0,0
2020-12-25,1,0,0,0,0
2020-12-26,1,0,0,0,0
2020-12-27,1,0,0,0,0
2020-12-28,1,0,0,0,0
2020-12-29,1,0,0,0,0
2020-12-30,1,0,0,0,0
2020-12-31,1,0,0,0,0
